cnpj,nome,situação,link
43.977.504/0001-79,TECHTOOLS REFRIGERACAO LTDA,Ativa,http://cnpj.biz/43.977.504/0001-79
42.468.735/0001-94,FERNANDES COMERCIO E MATERIAIS PARA CONSTRUCAO LTDA,Ativa,http://cnpj.biz/42.468.735/0001-94
42.859.774/0001-12,G H C MEDEIROS LTDA,Ativa,http://cnpj.biz/42.859.774/0001-12
41.487.175/0001-52,AMCF PROMOCAO E COMERCIO VAREJISTA LTDA,Ativa,http://cnpj.biz/41.487.175/0001-52
41.030.681/0002-07,BK PR COMERCIO DE BRINQUEDOS LTDA,Ativa,http://cnpj.biz/41.030.681/0002-07
43.374.408/0001-36,NATURALZEN COMERCIO DE PRODUTOS PARA IOGA E MEDITACAO LTDA.,Ativa,http://cnpj.biz/43.374.408/0001-36
43.647.441/0001-92,COMERCIAL CWB DE ALIMENTOS LTDA,Ativa,http://cnpj.biz/43.647.441/0001-92
44.666.198/0001-12,ALEXANDRE ELIAS INACIO LTDA,Ativa,http://cnpj.biz/44.666.198/0001-12
44.385.767/0001-51,GROCHOCKI E ALMEIDA BIKE SHOP LTDA,Ativa,http://cnpj.biz/44.385.767/0001-51
42.963.852/0001-24,BASSO DRULA LTDA,Ativa,http://cnpj.biz/42.963.852/0001-24
41.076.490/0001-97,MORAIS FRIOS LTDA,Ativa,http://cnpj.biz/41.076.490/0001-97
41.391.353/0001-47,ISRAEL J PEREIRA,Ativa,http://cnpj.biz/41.391.353/0001-47
41.676.912/0001-65,BAZZOM STORE LTDA,Ativa,http://cnpj.biz/41.676.912/0001-65
42.189.517/0001-10,DFSHOP E-COMMERCE LTDA,Ativa,http://cnpj.biz/42.189.517/0001-10
44.448.522/0001-26,GARAGE 536 COMERCIO DE VEICULOS LTDA,Ativa,http://cnpj.biz/44.448.522/0001-26
44.499.219/0001-52,ARTE DE VESTIR LTDA,Ativa,http://cnpj.biz/44.499.219/0001-52
44.580.930/0001-37,MAGIA URBANA LTDA,Ativa,http://cnpj.biz/44.580.930/0001-37,Ativa
44.385.895/0001-03,LOJA VITA SAUDE PRODUTOS MEDICOS E ORTOPEDICOS LTDA,Ativa,http://cnpj.biz/44.385.895/0001-03,Ativa
43.626.111/0001-10,VIEIRA PROMOCAO E COMERCIO DE COSMETICOS LTDA,Ativa,http://cnpj.biz/43.626.111/0001-10,--,
41.399.907/0001-52,DONNA DONUTS COMERCIO DE DOCES LTDA,Ativa,http://cnpj.biz/41.399.907/0001-52,--,
41.092.535/0001-17,DUFF'S PUB COMERCIO DE BEBIDAS LTDA,Ativa,http://cnpj.biz/41.092.535/0001-17,Ativa
42.921.639/0001-50,ALEXANDRE SAVI SUPLEMENTOS LTDA,Ativa,http://cnpj.biz/42.921.639/0001-50,Ativa
41.161.255/0001-13,UZ VENDAS LTDA,Ativa,http://cnpj.biz/41.161.255/0001-13,Ativa
43.583.747/0001-22,ISA SEMIJOIAS GOLD LTDA,Ativa,http://cnpj.biz/43.583.747/0001-22,Ativa
41.383.923/0001-57,LERSI ARTIGOS DO VESTUARIO LTDA,Ativa,http://cnpj.biz/41.383.923/0001-57,Ativa
41.649.178/0001-45,TW SEMIJOIAS PREMIUM LTDA,Ativa,http://cnpj.biz/41.649.178/0001-45,--,
41.548.233/0001-00,NUTRI ACQUA COMERCIO LTDA,Ativa,http://cnpj.biz/41.548.233/0001-00,--,
43.647.112/0001-41,TRIUNFO COMERCIO DE ALIMENTOS LTDA,Ativa,http://cnpj.biz/43.647.112/0001-41,--,
43.958.703/0001-30,N P LIMA CONFECCOES,Ativa,http://cnpj.biz/43.958.703/0001-30,Ativa
42.016.925/0001-70,BEATRIZ COTOVICZ KRAUZ,AtivaAtiva,http://cnpj.biz/42.016.925/0001-70,Ativa
42.683.024/0001-32,N P G COMERCIO DE MOVEIS LTDA,Ativa,http://cnpj.biz/42.683.024/0001-32,--,
41.788.848/0001-04,R.PARANA SERVICOS ESPECIALIZADOS PARA CONSTRUCAO LTDA,Ativa,http://cnpj.biz/41.788.848/0001-04,Ativa
42.651.743/0001-71,FIGUEPARTS AUTO PECAS LTDA,Ativa,http://cnpj.biz/42.651.743/0001-71,Ativa
41.988.043/0001-04,DISTRIBUIDORA HIGIE-LONAS LTDA,Ativa,http://cnpj.biz/41.988.043/0001-04,Ativa
